name,value,datum,datum_parsed,rok,mesic,den,denvroce,nazev,grp,date_aligned,is_end,is_middle,month_part,narust
DPFO podávajících přiznání,201205272.57,20.1.2009,2009-01-20,2009,1,20,20,DPFO podávajících přiznání,2009 DPFO podávajících přiznání,2000-01-20,FALSE,TRUE,middle,NA
DPFO podávajících přiznání,74420070.24,18.1.2010,2010-01-18,2010,1,18,18,DPFO podávajících přiznání,2010 DPFO podávajících přiznání,2000-01-18,FALSE,TRUE,middle,-0.6301286278961253
DPFO podávajících přiznání,99278525.35,19.1.2011,2011-01-19,2011,1,19,19,DPFO podávajících přiznání,2011 DPFO podávajících přiznání,2000-01-19,FALSE,TRUE,middle,0.33402891222533193
DPFO podávajících přiznání,102471476.76,16.1.2012,2012-01-16,2012,1,16,16,DPFO podávajících přiznání,2012 DPFO podávajících přiznání,2000-01-16,FALSE,TRUE,middle,0.0321615515414182
DPFO podávajících přiznání,197948787.09,31.1.2012,2012-01-31,2012,1,31,31,DPFO podávajících přiznání,2012 DPFO podávajících přiznání,2000-01-31,TRUE,FALSE,end,NA
DPFO podávajících přiznání,85317243.87,17.1.2013,2013-01-17,2013,1,17,17,DPFO podávajících přiznání,2013 DPFO podávajících přiznání,2000-01-17,FALSE,TRUE,middle,-0.16740495435795455
DPFO podávajících přiznání,180819012.77,31.1.2013,2013-01-31,2013,1,31,31,DPFO podávajících přiznání,2013 DPFO podávajících přiznání,2000-01-31,TRUE,FALSE,end,-0.08653639444737649
DPFO podávajících přiznání,88735359.9,15.1.2014,2014-01-15,2014,1,15,15,DPFO podávajících přiznání,2014 DPFO podávajících přiznání,2000-01-15,FALSE,TRUE,middle,0.04006360115439578
DPFO podávajících přiznání,204539772.18,31.1.2014,2014-01-31,2014,1,31,31,DPFO podávajících přiznání,2014 DPFO podávajících přiznání,2000-01-31,TRUE,FALSE,end,0.13118509523206257
DPFO podávajících přiznání,-139550723.92,15. 1. 2015,2015-01-15,2015,1,15,15,DPFO podávajících přiznání,2015 DPFO podávajících přiznání,2000-01-15,FALSE,TRUE,middle,-2.5726619475851136
DPFO podávajících přiznání,-226254916.76,30. 1. 2015,2015-01-30,2015,1,30,30,DPFO podávajících přiznání,2015 DPFO podávajících přiznání,2000-01-30,TRUE,FALSE,end,-2.106165878394008
DPFO podávajících přiznání,119096721.75,15. 1. 2016,2016-01-15,2016,1,15,15,DPFO podávajících přiznání,2016 DPFO podávajících přiznání,2000-01-15,FALSE,TRUE,middle,-1.8534296233266003
DPFO podávajících přiznání,222135972.69,29. 1. 2016,2016-01-29,2016,1,29,29,DPFO podávajících přiznání,2016 DPFO podávajících přiznání,2000-01-29,TRUE,FALSE,end,-1.9817951179625892
DPFO podávajících přiznání,122234621.28,13. 1. 2017,2017-01-13,2017,1,13,13,DPFO podávajících přiznání,2017 DPFO podávajících přiznání,2000-01-13,FALSE,TRUE,middle,0.02634748869567427
DPFO podávajících přiznání,247386963.2,31. 1. 2017,2017-01-31,2017,1,31,31,DPFO podávajících přiznání,2017 DPFO podávajících přiznání,2000-01-31,TRUE,FALSE,end,0.11367357661263977
DPFO                    podávajících přiznání,136662642.59,15. 1. 2018,2018-01-15,2018,1,15,15,DPFO podávajících přiznání,2018 DPFO podávajících přiznání,2000-01-15,FALSE,TRUE,middle,0.11803547275652826
DPFO                    podávajících přiznání,301314327.21,31. 1. 2018,2018-01-31,2018,1,31,31,DPFO podávajících přiznání,2018 DPFO podávajících přiznání,2000-01-31,TRUE,FALSE,end,0.21798789763388782
DPFO                    podávajících přiznání,153474355.1,15. 1. 2019,2019-01-15,2019,1,15,15,DPFO podávajících přiznání,2019 DPFO podávajících přiznání,2000-01-15,FALSE,TRUE,middle,0.1230161527055833
DPFO                    podávajících přiznání,411741362.87,31. 1. 2019,2019-01-31,2019,1,31,31,DPFO podávajících přiznání,2019 DPFO podávajících přiznání,2000-01-31,TRUE,FALSE,end,0.3664845169577293
DPFO                    podávajících přiznání,154308684.56,15. 1. 2020,2020-01-15,2020,1,15,15,DPFO podávajících přiznání,2020 DPFO podávajících přiznání,2000-01-15,FALSE,TRUE,middle,0.005436279301883173
DPFO                    podávajících přiznání,364473820.72,31. 1. 2020,2020-01-31,2020,1,31,31,DPFO podávajících přiznání,2020 DPFO podávajících přiznání,2000-01-31,TRUE,FALSE,end,-0.11479911034569501
DPFO podávajících přiznání,510395688.66,13.2.2009,2009-02-13,2009,2,13,44,DPFO podávajících přiznání,2009 DPFO podávajících přiznání,2000-02-13,FALSE,TRUE,middle,NA
DPFO podávajících přiznání,283940637.69,15.2.2010,2010-02-15,2010,2,15,46,DPFO podávajících přiznání,2010 DPFO podávajících přiznání,2000-02-15,FALSE,TRUE,middle,-0.44368527399700075
DPFO podávajících přiznání,294705621.36,15.2.2011,2011-02-15,2011,2,15,46,DPFO podávajících přiznání,2011 DPFO podávajících přiznání,2000-02-15,FALSE,TRUE,middle,0.03791279669433223
DPFO podávajících přiznání,303796439.29,15.2.2012,2012-02-15,2012,2,15,46,DPFO podávajících přiznání,2012 DPFO podávajících přiznání,2000-02-15,FALSE,TRUE,middle,0.03084711410677521
