name,value,datum,datum_parsed,rok,mesic,den,denvroce,nazev,grp,date_aligned
DPH,3142344780.3,15. 1. 2020,2020-01-15,2020,1,15,15,DPH,2020 DPH,2000-01-15
DPPO,561600938.12,15. 1. 2020,2020-01-15,2020,1,15,15,DPPO,2020 DPPO,2000-01-15
DPFO                    závislá činnost,12688964223.48,15. 1. 2020,2020-01-15,2020,1,15,15,DPFO závislá činnost,2020 DPFO závislá činnost,2000-01-15
DPFO                    zvláštní sazba,688389960.76,15. 1. 2020,2020-01-15,2020,1,15,15,DPFO zvláštní sazba,2020 DPFO zvláštní sazba,2000-01-15
DPFO                    podávajících přiznání,154308684.56,15. 1. 2020,2020-01-15,2020,1,15,15,DPFO podávajících přiznání,2020 DPFO podávajících přiznání,2000-01-15
Daň                    z hazardních her,1246117,15. 1. 2020,2020-01-15,2020,1,15,15,Daň z hazardních her,2020 Daň z hazardních her,2000-01-15
Daň                    z technických her,30533485.13,15. 1. 2020,2020-01-15,2020,1,15,15,Daň z technických her,2020 Daň z technických her,2000-01-15
DPH,47389619999.52,31. 1. 2020,2020-01-31,2020,1,31,31,DPH,2020 DPH,2000-01-31
DPPO,1533767885.09,31. 1. 2020,2020-01-31,2020,1,31,31,DPPO,2020 DPPO,2000-01-31
DPFO                    závislá činnost,20641477490.83,31. 1. 2020,2020-01-31,2020,1,31,31,DPFO závislá činnost,2020 DPFO závislá činnost,2000-01-31
DPFO                    zvláštní sazba,2043231639.56,31. 1. 2020,2020-01-31,2020,1,31,31,DPFO zvláštní sazba,2020 DPFO zvláštní sazba,2000-01-31
DPFO                    podávajících přiznání,364473820.72,31. 1. 2020,2020-01-31,2020,1,31,31,DPFO podávajících přiznání,2020 DPFO podávajících přiznání,2000-01-31
Daň                    z hazardních her,1218483668,31. 1. 2020,2020-01-31,2020,1,31,31,Daň z hazardních her,2020 Daň z hazardních her,2000-01-31
Daň                    z technických her,1536569924.13,31. 1. 2020,2020-01-31,2020,1,31,31,Daň z technických her,2020 Daň z technických her,2000-01-31
DPH,50202770653.6,14. 2. 2020,2020-02-14,2020,2,14,45,DPH,2020 DPH,2000-02-14
DPPO,2187856639.96,14. 2. 2020,2020-02-14,2020,2,14,45,DPPO,2020 DPPO,2000-02-14
DPFO                    závislá činnost,31639652914.84,14. 2. 2020,2020-02-14,2020,2,14,45,DPFO závislá činnost,2020 DPFO závislá činnost,2000-02-14
DPFO                    zvláštní sazba,2607238831.78,14. 2. 2020,2020-02-14,2020,2,14,45,DPFO zvláštní sazba,2020 DPFO zvláštní sazba,2000-02-14
DPFO                    podávajících přiznání,607995373.46,14. 2. 2020,2020-02-14,2020,2,14,45,DPFO podávajících přiznání,2020 DPFO podávajících přiznání,2000-02-14
Daň                    z hazardních her,1232906078,14. 2. 2020,2020-02-14,2020,2,14,45,Daň z hazardních her,2020 Daň z hazardních her,2000-02-14
Daň                    z technických her,1620243373.13,14. 2. 2020,2020-02-14,2020,2,14,45,Daň z technických her,2020 Daň z technických her,2000-02-14
DPH,72192294413.13,28. 2. 2020,2020-02-28,2020,2,28,59,DPH,2020 DPH,2000-02-28
DPPO,2966501537.35,28. 2. 2020,2020-02-28,2020,2,28,59,DPPO,2020 DPPO,2000-02-28
DPFO                    závislá činnost,39204214432.38,28. 2. 2020,2020-02-28,2020,2,28,59,DPFO závislá činnost,2020 DPFO závislá činnost,2000-02-28
DPFO                    zvláštní sazba,3284287979.12,28. 2. 2020,2020-02-28,2020,2,28,59,DPFO zvláštní sazba,2020 DPFO zvláštní sazba,2000-02-28
DPFO                    podávajících přiznání,1093310125.56,28. 2. 2020,2020-02-28,2020,2,28,59,DPFO podávajících přiznání,2020 DPFO podávajících přiznání,2000-02-28
Daň                    z hazardních her,1253288847,28. 2. 2020,2020-02-28,2020,2,28,59,Daň z hazardních her,2020 Daň z hazardních her,2000-02-28
Daň                    z technických her,1653665276.13,28. 2. 2020,2020-02-28,2020,2,28,59,Daň z technických her,2020 Daň z technických her,2000-02-28
DPH,74709025222.78,16. 3. 2020,2020-03-16,2020,3,16,76,DPH,2020 DPH,2000-03-16
DPPO,36217631204.81,16. 3. 2020,2020-03-16,2020,3,16,76,DPPO,2020 DPPO,2000-03-16
DPFO                    závislá činnost,49086187521.09,16. 3. 2020,2020-03-16,2020,3,16,76,DPFO závislá činnost,2020 DPFO závislá činnost,2000-03-16
DPFO                    zvláštní sazba,3929393900,16. 3. 2020,2020-03-16,2020,3,16,76,DPFO zvláštní sazba,2020 DPFO zvláštní sazba,2000-03-16
DPFO                    podávajících přiznání,3693172798.25,16. 3. 2020,2020-03-16,2020,3,16,76,DPFO podávajících přiznání,2020 DPFO podávajících přiznání,2000-03-16
Daň                    z hazardních her,1253288847,16. 3. 2020,2020-03-16,2020,3,16,76,Daň z hazardních her,2020 Daň z hazardních her,2000-03-16
Daň                    z technických her,1699676707.13,16. 3. 2020,2020-03-16,2020,3,16,76,Daň z technických her,2020 Daň z technických her,2000-03-16
DPH,97778113436.93,31. 3. 2020,2020-03-31,2020,3,31,91,DPH,2020 DPH,2000-03-31
DPPO,41348053117.17,31. 3. 2020,2020-03-31,2020,3,31,91,DPPO,2020 DPPO,2000-03-31
DPFO                    závislá činnost,54758309965.37,31. 3. 2020,2020-03-31,2020,3,31,91,DPFO závislá činnost,2020 DPFO závislá činnost,2000-03-31
DPFO                    zvláštní sazba,4620275568.5,31. 3. 2020,2020-03-31,2020,3,31,91,DPFO zvláštní sazba,2020 DPFO zvláštní sazba,2000-03-31
DPFO                    podávajících přiznání,5747963712.82,31. 3. 2020,2020-03-31,2020,3,31,91,DPFO podávajících přiznání,2020 DPFO podávajících přiznání,2000-03-31
Daň                    z hazardních her,1253293725,31. 3. 2020,2020-03-31,2020,3,31,91,Daň z hazardních her,2020 Daň z hazardních her,2000-03-31
Daň                    z technických her,1700434584.13,31. 3. 2020,2020-03-31,2020,3,31,91,Daň z technických her,2020 Daň z technických her,2000-03-31
DPH,99238512496.89,15. 4. 2020,2020-04-15,2020,4,15,106,DPH,2020 DPH,2000-04-15
DPPO,42124136378.87,15. 4. 2020,2020-04-15,2020,4,15,106,DPPO,2020 DPPO,2000-04-15
DPFO                    závislá činnost,63544284858.1,15. 4. 2020,2020-04-15,2020,4,15,106,DPFO závislá činnost,2020 DPFO závislá činnost,2000-04-15
DPFO                    zvláštní sazba,5201094413.75,15. 4. 2020,2020-04-15,2020,4,15,106,DPFO zvláštní sazba,2020 DPFO zvláštní sazba,2000-04-15
DPFO                    podávajících přiznání,4800374054.54,15. 4. 2020,2020-04-15,2020,4,15,106,DPFO podávajících přiznání,2020 DPFO podávajících přiznání,2000-04-15
Daň                    z hazardních her,1253293725,15. 4. 2020,2020-04-15,2020,4,15,106,Daň z hazardních her,2020 Daň z hazardních her,2000-04-15
Daň                    z technických her,1709115739.13,15. 4. 2020,2020-04-15,2020,4,15,106,Daň z technických her,2020 Daň z technických her,2000-04-15
DPH,132969521822.07,30. 4. 2020,2020-04-30,2020,4,30,121,DPH,2020 DPH,2000-04-30
DPPO,41230991044.64,30. 4. 2020,2020-04-30,2020,4,30,121,DPPO,2020 DPPO,2000-04-30
DPFO                    závislá činnost,58925855821.91,30. 4. 2020,2020-04-30,2020,4,30,121,DPFO závislá činnost,2020 DPFO závislá činnost,2000-04-30
DPFO                    zvláštní sazba,6038578412,30. 4. 2020,2020-04-30,2020,4,30,121,DPFO zvláštní sazba,2020 DPFO zvláštní sazba,2000-04-30
DPFO                    podávajících přiznání,-3580112388.13,30. 4. 2020,2020-04-30,2020,4,30,121,DPFO podávajících přiznání,2020 DPFO podávajících přiznání,2000-04-30
Daň                    z hazardních her,2304991485.55,30. 4. 2020,2020-04-30,2020,4,30,121,Daň z hazardních her,2020 Daň z hazardních her,2000-04-30
Daň                    z technických her,2259410758.32,30. 4. 2020,2020-04-30,2020,4,30,121,Daň z technických her,2020 Daň z technických her,2000-04-30
DPH,134584248005.21,15. 5. 2020,2020-05-15,2020,5,15,136,DPH,2020 DPH,2000-05-15
DPPO,40563063459.98,15. 5. 2020,2020-05-15,2020,5,15,136,DPPO,2020 DPPO,2000-05-15
DPFO                    závislá činnost,67167406394.85,15. 5. 2020,2020-05-15,2020,5,15,136,DPFO závislá činnost,2020 DPFO závislá činnost,2000-05-15
DPFO                    zvláštní sazba,6621120088.75,15. 5. 2020,2020-05-15,2020,5,15,136,DPFO zvláštní sazba,2020 DPFO zvláštní sazba,2000-05-15
DPFO                    podávajících přiznání,-4640601077.21,15. 5. 2020,2020-05-15,2020,5,15,136,DPFO podávajících přiznání,2020 DPFO podávajících přiznání,2000-05-15
Daň                    z hazardních her,2322339699.55,15. 5. 2020,2020-05-15,2020,5,15,136,Daň z hazardních her,2020 Daň z hazardních her,2000-05-15
Daň                    z technických her,2466124375.32,15. 5. 2020,2020-05-15,2020,5,15,136,Daň z technických her,2020 Daň z technických her,2000-05-15
DPH,155994790638.08,29. 5. 2020,2020-05-29,2020,5,29,150,DPH,2020 DPH,2000-05-29
DPPO,40859239966.66,29. 5. 2020,2020-05-29,2020,5,29,150,DPPO,2020 DPPO,2000-05-29
DPFO                    závislá činnost,70954133922.14,29. 5. 2020,2020-05-29,2020,5,29,150,DPFO závislá činnost,2020 DPFO závislá činnost,2000-05-29
DPFO                    zvláštní sazba,7450833553.74,29. 5. 2020,2020-05-29,2020,5,29,150,DPFO zvláštní sazba,2020 DPFO zvláštní sazba,2000-05-29
DPFO                    podávajících přiznání,-4957898854.83,29. 5. 2020,2020-05-29,2020,5,29,150,DPFO podávajících přiznání,2020 DPFO podávajících přiznání,2000-05-29
Daň                    z hazardních her,2322339699.55,29. 5. 2020,2020-05-29,2020,5,29,150,Daň z hazardních her,2020 Daň z hazardních her,2000-05-29
Daň                    z technických her,2472261860.32,29. 5. 2020,2020-05-29,2020,5,29,150,Daň z technických her,2020 Daň z technických her,2000-05-29
DPH,157798288382.08,15. 6. 2020,2020-06-15,2020,6,15,167,DPH,2020 DPH,2000-06-15
DPPO,56377220260.09,15. 6. 2020,2020-06-15,2020,6,15,167,DPPO,2020 DPPO,2000-06-15
DPFO                    závislá činnost,79633007522.38,15. 6. 2020,2020-06-15,2020,6,15,167,DPFO závislá činnost,2020 DPFO závislá činnost,2000-06-15
DPFO                    zvláštní sazba,8252676947.76,15. 6. 2020,2020-06-15,2020,6,15,167,DPFO zvláštní sazba,2020 DPFO zvláštní sazba,2000-06-15
DPFO                    podávajících přiznání,-3583367841.44,15. 6. 2020,2020-06-15,2020,6,15,167,DPFO podávajících přiznání,2020 DPFO podávajících přiznání,2000-06-15
Daň                    z hazardních her,2322287526.55,15. 6. 2020,2020-06-15,2020,6,15,167,Daň z hazardních her,2020 Daň z hazardních her,2000-06-15
Daň                    z technických her,2494933501.32,15. 6. 2020,2020-06-15,2020,6,15,167,Daň z technických her,2020 Daň z technických her,2000-06-15
DPH,3908603772.25,15. 1. 2019,2019-01-15,2019,1,15,15,DPH,2019 DPH,2000-01-15
DPPO,410654209.55,15. 1. 2019,2019-01-15,2019,1,15,15,DPPO,2019 DPPO,2000-01-15
DPFO                    závislá činnost,11229221806.1,15. 1. 2019,2019-01-15,2019,1,15,15,DPFO závislá činnost,2019 DPFO závislá činnost,2000-01-15
DPFO                    zvláštní sazba,544847555.06,15. 1. 2019,2019-01-15,2019,1,15,15,DPFO zvláštní sazba,2019 DPFO zvláštní sazba,2000-01-15
DPFO                    podávajících přiznání,153474355.1,15. 1. 2019,2019-01-15,2019,1,15,15,DPFO podávajících přiznání,2019 DPFO podávajících přiznání,2000-01-15
